prompt,temp,seq_len,gen_time,timestamp,ED_mean,ED_std,model,model_size,domain,rank,chkpt_id
  ,1.3,22,1773622205.3745182,2026-03-16T01:50:05.374521,0.6145791411399841,0.1615858227014541,mamba2-2.7b,2700000000,empty,0,0
Answer:,1.0,128,1773622211.4919832,2026-03-16T01:50:11.491985,0.7071985006332397,0.1495283395051956,mamba2-2.7b,2700000000,neutral,1,0
	,1.3,128,1773622217.5721204,2026-03-16T01:50:17.572122,0.6805460453033447,0.1732160449028015,mamba2-2.7b,2700000000,empty,2,0
tend cringdir plurtoksmas spa prengslelswul,0.7,2,1773622217.6670403,2026-03-16T01:50:17.667041,0.4530803859233856,0.1225900501012802,mamba2-2.7b,2700000000,nonsense,3,0
moondkoung smaind nousdront,0.7,128,1773622223.81281,2026-03-16T01:50:23.812812,0.9404810070991516,0.1561329066753387,mamba2-2.7b,2700000000,nonsense,4,0
...,1.0,128,1773622229.9139905,2026-03-16T01:50:29.913992,0.6436863541603088,0.1549234837293625,mamba2-2.7b,2700000000,empty,5,0
This,0.7,128,1773622236.0041318,2026-03-16T01:50:36.004133,0.8304405212402344,0.1231748014688491,mamba2-2.7b,2700000000,neutral,6,0
_,1.3,128,1773622242.1172855,2026-03-16T01:50:42.117287,0.5674065351486206,0.1843312084674835,mamba2-2.7b,2700000000,empty,7,0
	,1.0,128,1773622248.235082,2026-03-16T01:50:48.235084,0.8500975370407104,0.1527691334486007,mamba2-2.7b,2700000000,empty,8,0
skienspesgind grokmet miengprel,1.0,128,1773622254.348163,2026-03-16T01:50:54.348164,0.4667288362979889,0.1366582512855529,mamba2-2.7b,2700000000,nonsense,9,0
Generate:,1.3,110,1773622259.5810435,2026-03-16T01:50:59.581045,0.4848470091819763,0.2437469959259033,mamba2-2.7b,2700000000,neutral,10,0
Continue:,1.3,128,1773622265.6782024,2026-03-16T01:51:05.678204,0.3966524600982666,0.154451698064804,mamba2-2.7b,2700000000,neutral,11,0
front faindkon zontswitska triendpom grintgiet,1.0,128,1773622271.7818582,2026-03-16T01:51:11.781860,0.3601087927818298,0.0538120418787002,mamba2-2.7b,2700000000,nonsense,12,0
Output random bytes as text:,0.7,128,1773622277.8797114,2026-03-16T01:51:17.879713,0.8728811740875244,0.1447236537933349,mamba2-2.7b,2700000000,explicit,13,0
rMaYQWQ4Q3rMPz9O,1.3,128,1773622283.9785807,2026-03-16T01:51:23.978582,0.3662033677101135,0.1273245513439178,mamba2-2.7b,2700000000,random,14,0
One,0.7,128,1773622290.0749395,2026-03-16T01:51:30.074941,0.7710010409355164,0.1386048346757888,mamba2-2.7b,2700000000,neutral,15,0
slurpeak gloukskurstail bookklemklal keamspannin swai doomdriscen klandblolheam zundsend,1.3,128,1773622296.2033036,2026-03-16T01:51:36.203305,0.2923521697521209,0.0761825442314148,mamba2-2.7b,2700000000,nonsense,16,0
  ,0.7,128,1773622302.2978125,2026-03-16T01:51:42.297814,0.8934773206710815,0.1174214631319046,mamba2-2.7b,2700000000,empty,17,0
Write a sequence with no pattern or meaning:,0.7,128,1773622308.3804078,2026-03-16T01:51:48.380409,0.7560611963272095,0.1459893882274627,mamba2-2.7b,2700000000,explicit,18,0
blolcong gainghoolpeant swompranflas,0.7,128,1773622314.4761922,2026-03-16T01:51:54.476194,0.8550882339477539,0.2360755503177642,mamba2-2.7b,2700000000,nonsense,19,0
not swen weang lol rendcir granjieng,1.3,128,1773622320.7151296,2026-03-16T01:52:00.715132,0.3607766032218933,0.1558657586574554,mamba2-2.7b,2700000000,nonsense,20,1
Write a sequence with no pattern or meaning:,1.3,107,1773622325.826144,2026-03-16T01:52:05.826146,0.4209505319595337,0.1693578362464904,mamba2-2.7b,2700000000,explicit,21,1
Simulate rolling a six-sided die 20 times:,1.3,128,1773622331.9615393,2026-03-16T01:52:11.961541,0.5464886426925659,0.1985732614994049,mamba2-2.7b,2700000000,explicit,22,1
.,0.7,128,1773622338.0805972,2026-03-16T01:52:18.080599,0.767143726348877,0.1504950821399688,mamba2-2.7b,2700000000,empty,23,1
